project_id,organization_name,report_year,esg_claim_text,claim_category,claimed_metric_type,claimed_value,measurement_unit,project_location,actual_measured_value,value_deviation,external_validation_score,greenwashing_flag,controversy_flag,source_doc_link,report_sentiment_score,llm_claim_consistency_score,timestamp
SP-PROJ-0095,Repsol Low Carbon,2022,"In 2022, Repsol Low Carbon reported % renewable energy of 508.8 €.",Environmental,waste_diversion,60.0,%,Japan,64.64,4.64,57.2,0,0,https://example.com/esg-reports/SP-PROJ-0095,0.32,0.63,2024-07-31T12:19:10Z
SP-PROJ-0096,Iberdrola Green Energy,2018,"In 2018, Iberdrola Green Energy reported general sustainability initiatives of 432.01 %.",Other,esg_materiality,5.0,score,South Africa,4.12,-0.88,81.8,1,1,https://example.com/esg-reports/SP-PROJ-0096,0.51,0.63,2024-08-13T12:19:10Z
SP-PROJ-0097,Acciona Renewables,2019,"In 2019, Acciona Renewables reported audit compliance % of 636.75 hours.",Governance,board_independence,25.0,%,Australia,27.67,2.67,68.2,0,0,https://example.com/esg-reports/SP-PROJ-0097,0.72,0.43,2025-01-10T12:19:10Z
SP-PROJ-0098,Acciona Renewables,2024,"In 2024, Acciona Renewables reported Energy efficiency improvement of 654.41 MW.",Environmental,renewable_energy_use,10.0,%,South Africa,9.31,-0.69,56.8,1,1,https://example.com/esg-reports/SP-PROJ-0098,0.61,0.94,2025-04-07T12:19:10Z
SP-PROJ-0099,Grenergy Renovables,2021,"In 2021, Grenergy Renovables reported general sustainability initiatives of 319.42 hours.",Other,impact_weighted_finance,5.0,score,France,4.78,-0.22,70.8,0,0,https://example.com/esg-reports/SP-PROJ-0099,0.75,0.53,2024-06-25T12:19:10Z
SP-PROJ-0100,Aurora Energy plc,2023,We are committed to achieving 30% renewable energy across our operations by 2026.,Environmental,renewable_energy_use,20.0,%,Germany,19.27,-0.73,77.4,0,0,https://example.com/esg-reports/SP-PROJ-0100,0.53,0.88,2025-06-01T12:19:10Z
SP-PROJ-0101,Solaria Energía,2024,Our circular economy strategy diverts 45% of waste from landfill.,Environmental,emission_reduction,40.0,%,India,36.94,-3.06,53.4,1,1,https://example.com/esg-reports/SP-PROJ-0101,0.17,0.81,2025-06-01T12:19:10Z
SP-PROJ-0102,Endesa Transition Projects,2019,Our circular economy strategy diverts 25% of waste from landfill.,Environmental,renewable_energy_use,10.0,%,Japan,9.35,-0.65,67.2,1,1,https://example.com/esg-reports/SP-PROJ-0102,0.25,0.57,2025-01-03T12:19:10Z
SP-PROJ-0103,Iberdrola Green Energy,2016,Our carbon footprint reduction program targets a 45% decrease in emissions within 5 years.,Environmental,emission_reduction,30.0,%,Japan,28.56,-1.44,84.3,0,0,https://example.com/esg-reports/SP-PROJ-0103,0.3,0.92,2024-10-06T12:19:10Z
SP-PROJ-0104,Solaria Energía,2016,We incorporated the UN Sustainable Development Goals into our 2030 roadmap.,Other,impact_weighted_finance,3.0,score,UK,3.28,0.28,80.1,0,0,https://example.com/esg-reports/SP-PROJ-0104,0.74,0.81,2024-09-29T12:19:10Z
SP-PROJ-0105,TerraNova Foods,2016,We incorporated the UN Sustainable Development Goals into our 2030 roadmap.,Other,esg_materiality,3.0,score,France,3.0,-0.0,77.4,0,0,https://example.com/esg-reports/SP-PROJ-0105,-0.13,0.56,2025-03-08T12:19:10Z
SP-PROJ-0106,Grenergy Renovables,2020,Our carbon footprint reduction program targets a 30% decrease in emissions within 4 years.,Environmental,renewable_energy_use,70.0,%,Japan,68.13,-1.87,58.1,0,0,https://example.com/esg-reports/SP-PROJ-0106,-0.07,0.73,2024-12-05T12:19:10Z
SP-PROJ-0107,Solaria Energía,2018,"Our community investment exceeded £3 million, focusing on STEM education.",Social,supplier_diversity,20.0,million USD,Brazil,21.68,1.68,71.3,0,0,https://example.com/esg-reports/SP-PROJ-0107,0.77,0.7,2025-06-11T12:19:10Z
SP-PROJ-0108,BlueRiver Capital,2015,A new supplier diversity program now sources 45% from minority‑owned businesses.,Social,supplier_diversity,1.0,million USD,India,1.06,0.06,51.4,0,0,https://example.com/esg-reports/SP-PROJ-0108,0.7,0.62,2024-09-03T12:19:10Z
SP-PROJ-0109,Ferrovial Sustainable Infra,2022,Employee well‑being initiatives yielded a 40% increase in engagement scores this year.,Social,community_investment,5.0,million USD,Germany,4.15,-0.85,80.8,1,1,https://example.com/esg-reports/SP-PROJ-0109,0.26,0.62,2024-10-12T12:19:10Z
SP-PROJ-0110,Solaria Energía,2019,We published our first impact‑weighted financial statements this year.,Other,impact_weighted_finance,7.0,score,France,7.03,0.03,50.1,0,0,https://example.com/esg-reports/SP-PROJ-0110,0.11,0.61,2024-12-07T12:19:10Z
SP-PROJ-0111,Iberdrola Green Energy,2015,Our integrated report adopts the new ISSB standards ahead of schedule.,Other,sdg_alignment,5.0,score,India,5.82,0.82,77.5,0,0,https://example.com/esg-reports/SP-PROJ-0111,0.13,0.91,2025-01-01T12:19:10Z
SP-PROJ-0112,Red Eléctrica Verde,2024,Our carbon footprint reduction program targets a 20% decrease in emissions within 7 years.,Environmental,emission_reduction,10.0,%,Japan,9.65,-0.35,50.8,0,0,https://example.com/esg-reports/SP-PROJ-0112,-0.1,0.59,2024-10-13T12:19:10Z
SP-PROJ-0113,Helios Tech Holdings,2019,Our integrated report adopts the new ISSB standards ahead of schedule.,Other,esg_materiality,3.0,score,India,3.26,0.26,92.1,0,0,https://example.com/esg-reports/SP-PROJ-0113,0.42,0.79,2024-12-23T12:19:10Z
SP-PROJ-0114,Solaria Energía,2017,Our board composition now includes 30% independent directors and 50% women.,Governance,exec_comp_tied_to_esg,25.0,%,UK,23.5,-1.5,58.3,1,1,https://example.com/esg-reports/SP-PROJ-0114,0.48,0.88,2024-10-26T12:19:10Z
SP-PROJ-0115,Solaria Energía,2023,Protecting biodiversity remains central; we planted 2000 native trees near our facilities.,Environmental,renewable_energy_use,80.0,%,USA,65.85,-14.15,80.3,1,1,https://example.com/esg-reports/SP-PROJ-0115,-0.17,0.79,2025-05-01T12:19:10Z
SP-PROJ-0116,Ferrovial Sustainable Infra,2015,Our circular economy strategy diverts 40% of waste from landfill.,Environmental,renewable_energy_use,30.0,%,USA,32.44,2.44,75.9,0,1,https://example.com/esg-reports/SP-PROJ-0116,-0.11,0.62,2024-08-09T12:19:10Z
SP-PROJ-0117,Repsol Low Carbon,2022,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,gender_pay_equity,50.0,million USD,Australia,42.77,-7.23,87.0,1,1,https://example.com/esg-reports/SP-PROJ-0117,0.01,0.46,2025-04-29T12:19:10Z
SP-PROJ-0118,TerraNova Foods,2019,"Our community investment exceeded £5 million, focusing on STEM education.",Social,supplier_diversity,20.0,million USD,Australia,23.47,3.47,85.3,0,0,https://example.com/esg-reports/SP-PROJ-0118,0.47,0.92,2024-10-13T12:19:10Z
SP-PROJ-0119,Iberdrola Green Energy,2020,A comprehensive data‑privacy framework aligns with GDPR and emerging standards.,Other,sdg_alignment,3.0,score,UK,3.46,0.46,100.0,0,0,https://example.com/esg-reports/SP-PROJ-0119,0.76,0.41,2024-08-11T12:19:10Z
SP-PROJ-0120,TerraNova Foods,2015,Our circular economy strategy diverts 60% of waste from landfill.,Environmental,waste_diversion,60.0,%,Germany,65.58,5.58,83.7,0,0,https://example.com/esg-reports/SP-PROJ-0120,0.31,0.58,2024-06-21T12:19:10Z
SP-PROJ-0121,Aurora Energy plc,2022,Employee well‑being initiatives yielded a 10% increase in engagement scores this year.,Social,supplier_diversity,5.0,million USD,India,4.93,-0.07,76.4,0,0,https://example.com/esg-reports/SP-PROJ-0121,0.24,0.69,2024-12-05T12:19:10Z
SP-PROJ-0122,Helios Tech Holdings,2022,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,community_investment,50.0,million USD,Germany,47.15,-2.85,79.0,1,1,https://example.com/esg-reports/SP-PROJ-0122,0.03,0.63,2024-09-29T12:19:10Z
SP-PROJ-0123,Grenergy Renovables,2015,Our updated ESG materiality assessment engaged 5000 stakeholders worldwide.,Other,sdg_alignment,3.0,score,France,3.26,0.26,79.2,0,0,https://example.com/esg-reports/SP-PROJ-0123,0.42,0.47,2025-03-16T12:19:10Z
SP-PROJ-0124,Ferrovial Sustainable Infra,2023,We are committed to achieving 45% renewable energy across our operations by 2030.,Environmental,renewable_energy_use,60.0,%,Germany,64.93,4.93,75.1,0,0,https://example.com/esg-reports/SP-PROJ-0124,0.34,0.91,2025-06-01T12:19:10Z
SP-PROJ-0125,Grenergy Renovables,2023,Our updated ESG materiality assessment engaged 10000 stakeholders worldwide.,Other,impact_weighted_finance,7.0,score,USA,6.72,-0.28,57.6,0,0,https://example.com/esg-reports/SP-PROJ-0125,0.75,0.57,2024-07-15T12:19:10Z
SP-PROJ-0126,Grenergy Renovables,2022,We are committed to achieving 60% renewable energy across our operations by 2025.,Environmental,waste_diversion,40.0,%,Brazil,43.5,3.5,73.3,0,0,https://example.com/esg-reports/SP-PROJ-0126,-0.04,0.76,2024-08-04T12:19:10Z
SP-PROJ-0127,Cobalt Health Inc.,2022,A new supplier diversity program now sources 10% from minority‑owned businesses.,Social,supplier_diversity,50.0,million USD,South Africa,46.09,-3.91,73.3,1,1,https://example.com/esg-reports/SP-PROJ-0127,0.5,0.54,2024-11-18T12:19:10Z
SP-PROJ-0128,Ferrovial Sustainable Infra,2015,We conducted a detailed risk‑oversight review covering climate and cyber resilience.,Governance,anti_corruption,40.0,%,Germany,41.85,1.85,79.2,0,0,https://example.com/esg-reports/SP-PROJ-0128,0.47,0.69,2024-09-05T12:19:10Z
SP-PROJ-0129,Repsol Low Carbon,2015,Protecting biodiversity remains central; we planted 10000 native trees near our facilities.,Environmental,renewable_energy_use,20.0,%,Germany,19.06,-0.94,42.0,1,1,https://example.com/esg-reports/SP-PROJ-0129,0.18,0.94,2024-11-21T12:19:10Z
SP-PROJ-0130,Cobalt Health Inc.,2024,Our carbon footprint reduction program targets a 15% decrease in emissions within 3 years.,Environmental,emission_reduction,20.0,%,France,18.96,-1.04,60.3,1,1,https://example.com/esg-reports/SP-PROJ-0130,0.48,0.43,2025-04-03T12:19:10Z
SP-PROJ-0131,Cepsa Transition Tech,2019,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,supplier_diversity,1.0,million USD,Japan,0.95,-0.05,100.0,1,1,https://example.com/esg-reports/SP-PROJ-0131,0.08,0.53,2024-11-13T12:19:10Z
SP-PROJ-0132,Grenergy Renovables,2020,"Our community investment exceeded £7 million, focusing on STEM education.",Social,supplier_diversity,10.0,million USD,USA,7.71,-2.29,78.8,1,1,https://example.com/esg-reports/SP-PROJ-0132,0.26,0.59,2024-10-10T12:19:10Z
SP-PROJ-0133,Ferrovial Sustainable Infra,2023,We are committed to achieving 50% renewable energy across our operations by 2029.,Environmental,renewable_energy_use,50.0,%,Germany,48.62,-1.38,64.4,0,0,https://example.com/esg-reports/SP-PROJ-0133,0.39,0.76,2025-04-20T12:19:10Z
SP-PROJ-0134,Grenergy Renovables,2023,We linked 40% of executive compensation to ESG KPIs for the first time.,Governance,exec_comp_tied_to_esg,70.0,%,USA,79.23,9.23,61.8,0,0,https://example.com/esg-reports/SP-PROJ-0134,0.44,0.85,2025-03-22T12:19:10Z
SP-PROJ-0135,Cobalt Health Inc.,2017,Shareholder rights were strengthened by reducing supermajority vote thresholds.,Governance,board_independence,30.0,%,Australia,32.31,2.31,90.4,0,0,https://example.com/esg-reports/SP-PROJ-0135,0.14,0.48,2025-04-09T12:19:10Z
SP-PROJ-0136,Endesa Transition Projects,2018,Our board composition now includes 15% independent directors and 50% women.,Governance,board_independence,25.0,%,Brazil,27.16,2.16,35.2,1,1,https://example.com/esg-reports/SP-PROJ-0136,0.57,0.93,2024-07-19T12:19:10Z
SP-PROJ-0137,Aurora Energy plc,2021,We linked 30% of executive compensation to ESG KPIs for the first time.,Governance,anti_corruption,70.0,%,Germany,80.59,10.59,83.3,0,0,https://example.com/esg-reports/SP-PROJ-0137,0.65,0.91,2025-01-22T12:19:10Z
SP-PROJ-0138,Solaria Energía,2021,Our board composition now includes 10% independent directors and 50% women.,Governance,exec_comp_tied_to_esg,70.0,%,USA,69.68,-0.32,78.3,0,0,https://example.com/esg-reports/SP-PROJ-0138,0.18,0.48,2025-02-22T12:19:10Z
SP-PROJ-0139,Endesa Transition Projects,2023,We are committed to achieving 15% renewable energy across our operations by 2030.,Environmental,emission_reduction,30.0,%,Japan,33.3,3.3,94.5,0,0,https://example.com/esg-reports/SP-PROJ-0139,0.66,0.45,2024-12-27T12:19:10Z
SP-PROJ-0140,Ferrovial Sustainable Infra,2018,A new supplier diversity program now sources 20% from minority‑owned businesses.,Social,supplier_diversity,5.0,million USD,India,6.35,1.35,73.9,0,1,https://example.com/esg-reports/SP-PROJ-0140,0.04,0.49,2025-03-07T12:19:10Z
SP-PROJ-0141,Helios Tech Holdings,2017,Protecting biodiversity remains central; we planted 2000 native trees near our facilities.,Environmental,renewable_energy_use,60.0,%,Japan,53.89,-6.11,73.8,1,1,https://example.com/esg-reports/SP-PROJ-0141,0.26,0.94,2025-01-23T12:19:10Z
SP-PROJ-0142,Naturgy Solar Ventures,2017,We incorporated the UN Sustainable Development Goals into our 2030 roadmap.,Other,impact_weighted_finance,7.0,score,India,7.77,0.77,71.5,0,0,https://example.com/esg-reports/SP-PROJ-0142,-0.08,0.55,2025-05-11T12:19:10Z
SP-PROJ-0143,Naturgy Solar Ventures,2018,"Water stewardship is embedded in our supply chain, lowering usage by 10 annually.",Environmental,emission_reduction,50.0,%,India,41.84,-8.16,51.5,1,1,https://example.com/esg-reports/SP-PROJ-0143,0.47,0.59,2024-12-11T12:19:10Z
SP-PROJ-0144,Cepsa Transition Tech,2023,Employee well‑being initiatives yielded a 25% increase in engagement scores this year.,Social,gender_pay_equity,2.0,million USD,Brazil,2.18,0.18,95.6,0,0,https://example.com/esg-reports/SP-PROJ-0144,0.2,0.64,2025-02-17T12:19:10Z
SP-PROJ-0145,Acciona Renewables,2016,Our integrated report adopts the new ISSB standards ahead of schedule.,Other,sdg_alignment,5.0,score,Canada,4.67,-0.33,77.6,1,1,https://example.com/esg-reports/SP-PROJ-0145,0.62,0.76,2024-12-13T12:19:10Z
SP-PROJ-0146,Cobalt Health Inc.,2024,A comprehensive data‑privacy framework aligns with GDPR and emerging standards.,Other,impact_weighted_finance,3.0,score,India,3.09,0.09,100.0,0,0,https://example.com/esg-reports/SP-PROJ-0146,-0.09,0.62,2024-12-02T12:19:10Z
SP-PROJ-0147,Aurora Energy plc,2018,"Our community investment exceeded £20 million, focusing on STEM education.",Social,gender_pay_equity,50.0,million USD,Germany,41.59,-8.41,61.7,1,1,https://example.com/esg-reports/SP-PROJ-0147,-0.17,0.81,2025-04-15T12:19:10Z
SP-PROJ-0148,TerraNova Foods,2019,We conducted a detailed risk‑oversight review covering climate and cyber resilience.,Governance,exec_comp_tied_to_esg,40.0,%,South Africa,40.97,0.97,61.7,0,0,https://example.com/esg-reports/SP-PROJ-0148,0.5,0.75,2025-04-10T12:19:10Z
SP-PROJ-0149,Red Eléctrica Verde,2021,We conducted a detailed risk‑oversight review covering climate and cyber resilience.,Governance,anti_corruption,50.0,%,Canada,38.15,-11.85,88.0,1,1,https://example.com/esg-reports/SP-PROJ-0149,0.32,0.6,2024-07-30T12:19:10Z
SP-PROJ-0150,Naturgy Solar Ventures,2018,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,community_investment,1.0,million USD,Brazil,1.12,0.12,76.0,0,0,https://example.com/esg-reports/SP-PROJ-0150,0.17,0.52,2024-12-14T12:19:10Z
SP-PROJ-0151,Aurora Energy plc,2018,Our integrated report adopts the new ISSB standards ahead of schedule.,Other,esg_materiality,3.0,score,France,2.92,-0.08,72.3,0,0,https://example.com/esg-reports/SP-PROJ-0151,0.07,0.44,2024-11-20T12:19:10Z
SP-PROJ-0152,BlueRiver Capital,2018,Our updated ESG materiality assessment engaged 25000 stakeholders worldwide.,Other,esg_materiality,7.0,score,Japan,7.15,0.15,56.9,0,0,https://example.com/esg-reports/SP-PROJ-0152,0.57,0.65,2025-01-22T12:19:10Z
SP-PROJ-0153,Endesa Transition Projects,2016,We linked 25% of executive compensation to ESG KPIs for the first time.,Governance,exec_comp_tied_to_esg,25.0,%,India,24.04,-0.96,68.3,0,0,https://example.com/esg-reports/SP-PROJ-0153,0.23,0.69,2025-01-31T12:19:10Z
SP-PROJ-0154,Repsol Low Carbon,2015,We published our first impact‑weighted financial statements this year.,Other,sdg_alignment,5.0,score,Japan,5.59,0.59,65.5,0,0,https://example.com/esg-reports/SP-PROJ-0154,0.55,0.91,2025-03-19T12:19:10Z
SP-PROJ-0155,Ferrovial Sustainable Infra,2016,"Water stewardship is embedded in our supply chain, lowering usage by 25 annually.",Environmental,renewable_energy_use,70.0,%,India,76.6,6.6,71.0,0,0,https://example.com/esg-reports/SP-PROJ-0155,0.49,0.94,2024-11-01T12:19:10Z
SP-PROJ-0156,Helios Tech Holdings,2022,Our updated ESG materiality assessment engaged 25000 stakeholders worldwide.,Other,impact_weighted_finance,5.0,score,Australia,4.66,-0.34,94.5,1,1,https://example.com/esg-reports/SP-PROJ-0156,0.3,0.61,2024-10-28T12:19:10Z
SP-PROJ-0157,BlueRiver Capital,2019,Our integrated report adopts the new ISSB standards ahead of schedule.,Other,esg_materiality,3.0,score,Japan,2.6,-0.4,63.6,1,1,https://example.com/esg-reports/SP-PROJ-0157,0.3,0.77,2025-03-09T12:19:10Z
SP-PROJ-0158,Cepsa Transition Tech,2020,Our updated ESG materiality assessment engaged 5000 stakeholders worldwide.,Other,impact_weighted_finance,3.0,score,Japan,3.06,0.06,48.3,1,1,https://example.com/esg-reports/SP-PROJ-0158,-0.08,0.49,2024-08-09T12:19:10Z
SP-PROJ-0159,Iberdrola Green Energy,2021,Our carbon footprint reduction program targets a 20% decrease in emissions within 7 years.,Environmental,renewable_energy_use,10.0,%,Brazil,9.27,-0.73,77.9,1,1,https://example.com/esg-reports/SP-PROJ-0159,0.68,0.8,2025-01-20T12:19:10Z
SP-PROJ-0160,Red Eléctrica Verde,2024,A comprehensive data‑privacy framework aligns with GDPR and emerging standards.,Other,sdg_alignment,7.0,score,South Africa,7.01,0.01,82.9,0,0,https://example.com/esg-reports/SP-PROJ-0160,0.1,0.7,2024-11-16T12:19:10Z
SP-PROJ-0161,BlueRiver Capital,2021,Our circular economy strategy diverts 45% of waste from landfill.,Environmental,waste_diversion,80.0,%,Germany,80.3,0.3,86.5,0,0,https://example.com/esg-reports/SP-PROJ-0161,0.07,0.88,2025-02-23T12:19:10Z
SP-PROJ-0162,Cepsa Transition Tech,2021,A new supplier diversity program now sources 25% from minority‑owned businesses.,Social,supplier_diversity,10.0,million USD,Canada,9.19,-0.81,58.2,1,1,https://example.com/esg-reports/SP-PROJ-0162,0.66,0.65,2024-08-02T12:19:10Z
SP-PROJ-0163,Iberdrola Green Energy,2021,A new supplier diversity program now sources 20% from minority‑owned businesses.,Social,gender_pay_equity,1.0,million USD,Canada,0.8,-0.2,65.1,1,1,https://example.com/esg-reports/SP-PROJ-0163,0.68,0.92,2024-07-14T12:19:10Z
SP-PROJ-0164,Grenergy Renovables,2020,A new supplier diversity program now sources 20% from minority‑owned businesses.,Social,gender_pay_equity,1.0,million USD,Canada,0.89,-0.11,86.8,1,1,https://example.com/esg-reports/SP-PROJ-0164,0.02,0.49,2024-11-30T12:19:10Z
SP-PROJ-0165,TerraNova Foods,2023,We conducted a detailed risk‑oversight review covering climate and cyber resilience.,Governance,anti_corruption,60.0,%,France,58.7,-1.3,81.7,0,0,https://example.com/esg-reports/SP-PROJ-0165,0.25,0.67,2025-02-12T12:19:10Z
SP-PROJ-0166,Ferrovial Sustainable Infra,2015,Protecting biodiversity remains central; we planted 1000 native trees near our facilities.,Environmental,renewable_energy_use,50.0,%,Brazil,52.72,2.72,81.6,0,0,https://example.com/esg-reports/SP-PROJ-0166,-0.06,0.63,2025-06-03T12:19:10Z
SP-PROJ-0167,TerraNova Foods,2019,We expanded parental‑leave benefits to 25000 weeks for all caregivers.,Social,gender_pay_equity,5.0,million USD,Canada,5.18,0.18,80.7,0,0,https://example.com/esg-reports/SP-PROJ-0167,-0.1,0.49,2025-04-22T12:19:10Z
SP-PROJ-0168,Endesa Transition Projects,2015,We linked 70% of executive compensation to ESG KPIs for the first time.,Governance,anti_corruption,30.0,%,India,28.59,-1.41,71.7,0,0,https://example.com/esg-reports/SP-PROJ-0168,0.22,0.46,2025-01-24T12:19:10Z
SP-PROJ-0169,Iberdrola Green Energy,2019,Shareholder rights were strengthened by reducing supermajority vote thresholds.,Governance,exec_comp_tied_to_esg,60.0,%,India,50.7,-9.3,81.3,1,1,https://example.com/esg-reports/SP-PROJ-0169,0.4,0.46,2024-09-01T12:19:10Z
SP-PROJ-0170,Iberdrola Green Energy,2023,Our circular economy strategy diverts 10% of waste from landfill.,Environmental,waste_diversion,40.0,%,South Africa,34.38,-5.62,66.1,1,1,https://example.com/esg-reports/SP-PROJ-0170,0.05,0.67,2025-04-29T12:19:10Z
SP-PROJ-0171,TerraNova Foods,2017,Our board composition now includes 45% independent directors and 50% women.,Governance,exec_comp_tied_to_esg,70.0,%,South Africa,70.81,0.81,69.3,0,0,https://example.com/esg-reports/SP-PROJ-0171,0.21,0.61,2025-01-30T12:19:10Z
SP-PROJ-0172,Grenergy Renovables,2021,Our updated ESG materiality assessment engaged 25000 stakeholders worldwide.,Other,impact_weighted_finance,9.0,score,Australia,9.54,0.54,88.4,0,0,https://example.com/esg-reports/SP-PROJ-0172,0.75,0.59,2025-04-12T12:19:10Z
SP-PROJ-0173,Endesa Transition Projects,2024,A new anti‑corruption policy mandates annual training for 10000% of employees.,Governance,board_independence,25.0,%,Germany,25.56,0.56,79.9,0,0,https://example.com/esg-reports/SP-PROJ-0173,0.16,0.74,2024-08-23T12:19:10Z
SP-PROJ-0174,Cepsa Transition Tech,2019,A comprehensive data‑privacy framework aligns with GDPR and emerging standards.,Other,impact_weighted_finance,5.0,score,South Africa,5.34,0.34,69.3,0,0,https://example.com/esg-reports/SP-PROJ-0174,-0.09,0.52,2024-12-22T12:19:10Z
SP-PROJ-0175,Ferrovial Sustainable Infra,2016,A new anti‑corruption policy mandates annual training for 25000% of employees.,Governance,anti_corruption,50.0,%,France,48.12,-1.88,56.6,0,0,https://example.com/esg-reports/SP-PROJ-0175,0.55,0.69,2024-10-14T12:19:10Z
SP-PROJ-0176,Grenergy Renovables,2015,A new supplier diversity program now sources 50% from minority‑owned businesses.,Social,supplier_diversity,20.0,million USD,Australia,19.89,-0.11,75.0,0,0,https://example.com/esg-reports/SP-PROJ-0176,0.23,0.43,2025-05-22T12:19:10Z
SP-PROJ-0177,Grenergy Renovables,2023,Protecting biodiversity remains central; we planted 5000 native trees near our facilities.,Environmental,renewable_energy_use,50.0,%,India,52.33,2.33,69.4,0,0,https://example.com/esg-reports/SP-PROJ-0177,0.6,0.49,2025-05-26T12:19:10Z
SP-PROJ-0178,Naturgy Solar Ventures,2018,We conducted a detailed risk‑oversight review covering climate and cyber resilience.,Governance,anti_corruption,30.0,%,USA,27.25,-2.75,78.8,1,1,https://example.com/esg-reports/SP-PROJ-0178,0.53,0.75,2024-12-22T12:19:10Z
SP-PROJ-0179,TerraNova Foods,2022,Our carbon footprint reduction program targets a 40% decrease in emissions within 10 years.,Environmental,renewable_energy_use,70.0,%,USA,69.37,-0.63,95.5,0,0,https://example.com/esg-reports/SP-PROJ-0179,0.71,0.43,2025-05-18T12:19:10Z
SP-PROJ-0180,Ferrovial Sustainable Infra,2020,Shareholder rights were strengthened by reducing supermajority vote thresholds.,Governance,anti_corruption,25.0,%,France,27.59,2.59,60.1,0,1,https://example.com/esg-reports/SP-PROJ-0180,0.22,0.5,2025-05-31T12:19:10Z
SP-PROJ-0181,Acciona Renewables,2023,"Our community investment exceeded €1 million, focusing on STEM education.",Social,gender_pay_equity,20.0,million USD,USA,22.06,2.06,73.9,0,0,https://example.com/esg-reports/SP-PROJ-0181,0.53,0.63,2024-07-29T12:19:10Z
SP-PROJ-0182,Grenergy Renovables,2022,We linked 50% of executive compensation to ESG KPIs for the first time.,Governance,anti_corruption,40.0,%,Brazil,41.15,1.15,40.2,1,1,https://example.com/esg-reports/SP-PROJ-0182,0.69,0.81,2025-04-10T12:19:10Z
SP-PROJ-0183,Grenergy Renovables,2016,We linked 10% of executive compensation to ESG KPIs for the first time.,Governance,anti_corruption,40.0,%,Brazil,40.9,0.9,81.7,0,0,https://example.com/esg-reports/SP-PROJ-0183,-0.02,0.67,2024-10-29T12:19:10Z
SP-PROJ-0184,Solaria Energía,2021,Our carbon footprint reduction program targets a 20% decrease in emissions within 5 years.,Environmental,waste_diversion,60.0,%,France,57.78,-2.22,60.8,0,0,https://example.com/esg-reports/SP-PROJ-0184,0.74,0.91,2024-11-18T12:19:10Z
SP-PROJ-0185,Naturgy Solar Ventures,2024,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,supplier_diversity,50.0,million USD,France,45.34,-4.66,56.1,1,1,https://example.com/esg-reports/SP-PROJ-0185,0.4,0.93,2025-04-07T12:19:10Z
SP-PROJ-0186,Repsol Low Carbon,2018,Our circular economy strategy diverts 15% of waste from landfill.,Environmental,renewable_energy_use,30.0,%,South Africa,28.66,-1.34,65.3,0,0,https://example.com/esg-reports/SP-PROJ-0186,0.67,0.67,2025-03-07T12:19:10Z
SP-PROJ-0187,Naturgy Solar Ventures,2015,"We achieved gender pay parity across all levels, verified by an independent auditor.",Social,gender_pay_equity,10.0,million USD,Australia,8.0,-2.0,80.7,1,1,https://example.com/esg-reports/SP-PROJ-0187,0.12,0.65,2024-12-04T12:19:10Z
SP-PROJ-0188,Cobalt Health Inc.,2019,"Our community investment exceeded £5 million, focusing on STEM education.",Social,community_investment,10.0,million USD,France,8.05,-1.95,61.3,1,1,https://example.com/esg-reports/SP-PROJ-0188,0.71,0.8,2025-03-01T12:19:10Z
SP-PROJ-0189,Iberdrola Green Energy,2015,A new supplier diversity program now sources 15% from minority‑owned businesses.,Social,gender_pay_equity,10.0,million USD,Brazil,9.06,-0.94,90.3,1,1,https://example.com/esg-reports/SP-PROJ-0189,0.38,0.83,2024-08-25T12:19:10Z
SP-PROJ-0190,Grenergy Renovables,2019,"Our community investment exceeded €2 million, focusing on STEM education.",Social,supplier_diversity,1.0,million USD,France,0.94,-0.06,91.9,1,1,https://example.com/esg-reports/SP-PROJ-0190,0.57,0.8,2025-06-04T12:19:10Z
SP-PROJ-0191,Cobalt Health Inc.,2021,A comprehensive data‑privacy framework aligns with GDPR and emerging standards.,Other,sdg_alignment,3.0,score,India,2.8,-0.2,32.5,1,1,https://example.com/esg-reports/SP-PROJ-0191,0.25,0.71,2024-12-17T12:19:10Z
SP-PROJ-0192,Helios Tech Holdings,2019,Shareholder rights were strengthened by reducing supermajority vote thresholds.,Governance,board_independence,70.0,%,India,69.75,-0.25,100.0,0,0,https://example.com/esg-reports/SP-PROJ-0192,0.67,0.75,2025-01-20T12:19:10Z
SP-PROJ-0193,Aurora Energy plc,2022,Our carbon footprint reduction program targets a 50% decrease in emissions within 7 years.,Environmental,waste_diversion,20.0,%,South Africa,17.0,-3.0,48.3,1,1,https://example.com/esg-reports/SP-PROJ-0193,0.61,0.59,2025-01-27T12:19:10Z
SP-PROJ-0194,BlueRiver Capital,2017,"Water stewardship is embedded in our supply chain, lowering usage by 40 annually.",Environmental,renewable_energy_use,70.0,%,Japan,67.58,-2.42,63.1,0,0,https://example.com/esg-reports/SP-PROJ-0194,-0.02,0.46,2024-06-30T12:19:10Z
